Region;State;Population;PopulationPrev
Очаків;Миколаївська;14566;16929
Ківерці;Волинська;14480;16678
Сторожинець;Чернівецька;14407;14693
Золоте;Луганська;14376;17836
Апостолове;Дніпропетровська;14348;16439
Городище;Черкаська;14249;15645
Гуляйполе;Запорізька;14180;17077
Тальне;Черкаська;14160;16388
Жашків;Черкаська;14146;15853
Збараж;Тернопільська;14054;13228
Носівка;Чернігівська;14007;15966
Бунге;Донецька;13945;17813
Василівка;Запорізька;13875;15592
Зеленодольськ;Дніпропетровська;13907;14792
Часів Яр;Донецька;13817;16612
Новгород-Сіверський;Чернігівська;13753;15175
Кагарлик;Київська;13730;13757
Теребовля;Тернопільська;13709;13661
Жовква;Львівська;13629;13474
Хорол;Полтавська;13532;14753
Березне;Рівненська;13435;13669
Кам'янка-Дніпровська;Запорізька;13383;15522
Рожище;Волинська;13306;13636
Тетіїв;Київська;13270;14944
Петрово-Красносілля;Луганська;13117;15478
Корюківка;Чернігівська;13114;14318
Бершадь;Вінницька;13098;13336
Берислав;Херсонська;13044;15455
Яворів;Львівська;13009;13510
Снігурівка;Миколаївська;12992;15447
Баштанка;Миколаївська;12658;13146
Бучач;Тернопільська;12631;12549
Щастя;Луганська;12629;13770
Гнівань;Вінницька;12577;12832
Городня;Чернігівська;12431;14043
Кам'янка;Черкаська;12427;15109
Жданівка;Донецька;12301;13688
Нова Одеса;Миколаївська;12253;14070
Приморськ;Запорізька;12194;12973
Камінь-Каширський;Волинська;12190;10818
Мена;Чернігівська;12181;12940
Узин;Київська;12150;13217
Світлодарськ;Донецька;12127;13184
Сіверськ;Донецька;12036;14393
Інкерман;м.Севастополь;12028;10628
Біляївка;Одеська;11993;14294
Баранівка;Житомирська;11948;12584
Українськ;Донецька;11928;13236
Немирів;Вінницька;11861;12082
Миронівка;Київська;11851;13368
Лохвиця;Полтавська;11801;12389
Новоазовськ;Донецька;11740;12702
Боково-Хрустальне;Луганська;11731;14773
Кальміуське;Донецька;11672;12813
Соледар;Донецька;11560;13151
Гірник;Донецька;11510;14207
Новомиргород;Кіровоградська;11495;13220
Сновськ;Чернігівська;11455;12315
Ічня;Чернігівська;11454;12780
Соснівка;Львівська;11437;11889
Іллінці;Вінницька;11360;11186
Ямпіль;Вінницька;11329;11787
Бобровиця;Чернігівська;11279;11916
Тараща;Київська;11275;13452
Борщів;Тернопільська;11202;11382
Щолкіне;Автономна Республіка Крим;11169;11699
Жидачів;Львівська;11149;11798
Мала Виска;Кіровоградська;11014;13132
Бобринець;Кіровоградська;11005;12300
Татарбунари;Одеська;10974;10797
Таврійськ;Херсонська;10941;11452
Гребінка;Полтавська;10938;11662
Христинівка;Черкаська;10853;11650
Моспине;Донецька;10745;11736
Кам'янка-Бузька;Львівська;10837;11674
Болехів;Івано-Франківська;10770;10633
Новодністровськ;Чернівецька;10729;10342
Родинське;Донецька;10641;11996
Радивилів;Рівненська;10558;10311
Борзна;Чернігівська;10396;11707
Деражня;Хмельницька;10302;10446
Любомль;Волинська;10274;10395
Теплодар;Одеська;10227;8830
Олевськ;Житомирська;10222;10896
Перещепине;Дніпропетровська;10138;10041
Дубляни;Львівська;10132;8469
Снятин;Івано-Франківська;10102;10479
Кобеляки;Полтавська;10041;12076
Гірське;Луганська;10041;11473
Верхівцеве;Дніпропетровська;10062;10142
Глобине;Полтавська;9921;12902
Зіньків;Полтавська;9899;10577
Ірміно;Луганська;9886;13053
Зимогір'я;Луганська;9881;11295
Мар'їнка;Донецька;9829;10722
Погребище;Вінницька;9814;10754
Ходорів;Львівська;9813;10565
Березівка;Одеська;9778;9481
Радехів;Львівська;9612;9230
Хотин;Чернівецька;9591;11216
Старий Крим;Автономна Республіка Крим;9478;10101
Барвінкове;Харківська;9465;12998
Дубровиця;Рівненська;9459;9644
Тисмениця;Івано-Франківська;9443;9790
Решетилівка;Полтавська;9412;9457
Сокиряни;Чернівецька;9388;10258
Городенка;Івано-Франківська;9384;9794
Заліщики;Тернопільська;9379;10125
Валки;Харківська;9355;10381
Мостиська;Львівська;9258;9150
Чигирин;Черкаська;9258;11960
Іршава;Закарпатська;9220;9515
Пустомити;Львівська;9211;9798
Помічна;Кіровоградська;9201;10946
Горохів;Волинська;9172;9015
